A. muciniphila
A. putredinis
A. shahii
B. adolescentis
B. caccae
B. clarus
B. coprocola
B. crossotus
B. dorei
B. eggerthii
B. fragilis
B. fragilis enterotoxigenic
B. fragilis HM-20
B. fragilis HM-709
B. fragilis HM-710
B. fragilis HM-711
B. fragilis HM-712
B. fragilis HM-713
B. fragilis HM-714
B. hansenii
B. longum subsp. infantis
B. longum subsp. longum
B. obeum
B. ovatus
B. stercoris
B. thetaiotaomicron
B. uniformis
B. uniformis HM-715
B. uniformis HM-716
B. vulgatus
B. vulgatus HM-720
B. wadsworthia
B. xylanisolvens
C. aerofaciens
C. bolteae
C. comes
C. leptum
C. ramosum
D. formicigenerans
D. piger
E. coli ED1a
E. coli IAI1
E. eligens
E. rectale
E. siraeum
H. parainfluenzae
O. splanchnicus
P. copri
P. distasonis
P. merdae
R. bromii
R. gnavus
R. hominis
R. intestinalis
R. torques
S. parasanguinis
S. salivarius
V. parvula
