File	TechnicalReplicates	ConditionSpecies	Species	Passage	Volume	Media	BlankOD	Class	MaxOD	MaxTime	StatOD	RateODIntercept	Rate	StatTime	OvergrowthTime	OvergrowthOD	AUC8	AUC12	AUC18	AUC24	pH_48.mean	pH_48.sd
141029_Growth_Curves_1	A1-B1		L. plantarum	1	2	GMM	0.113	Falling	0.8725	41661.5	0.726	-1.079803323	0.184358597	86502	41661.5	0.8725	1.24079166666667	3.99795833333333	8.89145833333333	13.3809583333333		
141029_Growth_Curves_1	A10-B10		E. coli UTI89	1	2	GMM	0.122	Diauxic;Good	1.168	58990.5	1.005	-0.528232184	0.219164708	86792	58990.5	1.168	3.17108333333333	6.89345833333333	13.787125	20.4403333333333		
141029_Growth_Curves_1	A11-B11		E. coli HM605	1	2	GMM	0.112	Diauxic;Good	1.4915	54566.5	1.097	-0.976408497	0.390783598	91018	54566.5	1.4915	5.28945833333333	11.1752916666667	20.0991666666667	28.327875		
141029_Growth_Curves_1	A12-B12		E. coli CFT073	1	2	GMM	0.12	Diauxic;Good	1.25	53338	0.815	-1.425158601	0.371294882	89734	53338	1.25	3.22066666666667	7.54216666666667	14.9565833333333	21.429125		
141029_Growth_Curves_1	A2-B2		L. lactis	1	2	GMM	0.103	Diauxic;Falling	1.14	57258	0.75	-0.677586867	0.15889129	88747	57258	1.14	1.636125	4.74595833333333	11.4235416666667	16.756875		
141029_Growth_Curves_1	A3-B3		S. typhimurium LT2	1	2	GMM	0.12	Good	0.404	26660	0.398	-0.16034409	0.105002305	40323.5	26660	0.404	2.05775	3.64879166666667	6.00295833333333	8.2855		
141029_Growth_Curves_1	A4-B4		E. coli IAI1	1	2	GMM	0.118	Raising	1.5375	65438	1.496	-0.771917907	0.3956658	91266	65438	1.5375	5.696625	11.015125	19.8498333333333	29.0259583333333		
141029_Growth_Curves_1	A5-B5		P. difficile	1	2	GMM	0.103	Zero	0.588	59136.5	0.141	-1.877518588	0.181800219	91224	59136.5	0.588	0.840166666666667	1.54108333333333	4.62654166666667	6.5695		
141029_Growth_Curves_1	A6-B6		S. flexneri	1	2	GMM	0.113	Good	1.2335	66326	1.2315	-0.458479376	0.243369677	66717	66326	1.2335	4.17766666666667	8.74783333333333	16.062875	23.401		
141029_Growth_Curves_1	A7-B7		V. cholerae A1552	1	2	GMM	0.108	Diauxic;Falling	0.512	76314.5	0.441	-0.216482171	0.042291978	91647	76314.5	0.512	0.931208333333333	1.72916666666667	3.79929166666667	6.78770833333333		
141029_Growth_Curves_1	A8-B8		V. cholerae N16961	1	2	GMM	0.115	Diauxic;Falling;Overgrowth	0.4815	40078	0.285	-0.314069588	0.074263279	89917	40078	0.4815	1.21329166666667	2.80208333333333	5.34266666666667	7.39066666666667		
141029_Growth_Curves_1	A9-B9		S. sonnei	1	2	GMM	0.121	Good	1.024	40627.5	0.93	-0.582621351	0.263345596	91060	40627.5	1.024	3.92833333333333	7.95808333333333	13.9432083333333	19.703		
