species	full_name	lineage_species	genus	family	order	class	phylum	assembly	agora	sort	nid	taxid	nearest_kegg_org
A. muciniphila	Akkermansia muciniphila (S1) DSM No.: 22959	A. muciniphila	Akkermansia	Verrucomicrobiaceae	Verrucomicrobiales	Verrucomicrobiae	Verrucomicrobia	GCA_000020225.1_ASM2022v1	Akkermansia_muciniphila_ATCC_BAA_835.xml	96	NT5021	349741	amu
A. odontolyticus	Actinomyces odontolyticus (S2) DSM No: 43331	A. odontolyticus	Actinomyces 	Actinomycetaceae	Actinomycetales	Actinobacteria	Actinobacteria	GCA_000154225.1_ASM15422v1	Actinomyces_odontolyticus_ATCC_17982.xml	1	NT5039	411466	
A. putredinis	Alistipes putredinis (S2) DSMZ 17216	A. putredinis	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000154465.1_ASM15446v1	Alistipes_putredinis_DSM_17216.xml	14	NT5014	445970	
B. adolescentis	Bifidobacterium adolescentis (S1) DSM No.: 20083	B. adolescentis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	GCA_000010425.1_ASM1042v1	Bifidobacterium_adolescentis_ATCC_15703.xml	2	NT5022	367928	bad
B. animalis subsp. lactis BI-07	Bifidobacterium animalis subsp. lactis BI-07 (S1)	B. animalis subsp. Lactis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	GCA_000277345.1_ASM27734v1	Bifidobacterium_animalis_lactis_Bi_07.xml	3	NT5044	742729	bls
B. animalis subsp. lactis BL-04	Bifidobacterium animalis subsp. lactis BL-04 (S1) DGCC2908	B. animalis subsp. Lactis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	GCA_000022705.1_ASM2270v1	Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219.xml	4	NT5043	580050	blc
B. crossotus	Butyrivibrio crossotus (S1) DSM No.: 2876	B. crossotus	Butyrivibrio	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	GCA_000156015.1_ASM15601v1	Butyrivibrio_crossotus_DSM_2876.xml	65	NT5013	511680	
B. fragilis	Bacteroides fragilis (S2) nontoxigenic DSM No.: 2151	B. fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000025985.1_ASM2598v1	Bacteroides_fragilis_NCTC_9343.xml	29	NT5003	272559	bfs
B. fragilis enterotoxigenic	Bacteroides fragilis (S2) enterotoxigenic (S2) ATCC No: 43860	B. fragilis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	NT5033		21	NT5033		
B. hansenii	Blautia hansenii DSMZ 20583 (S1)	B. hansenii	Blautia	Ruminococcaceae	Clostridiales	Clostridia	Firmicutes	GCA_000156675.1_ASM15667v1	Blautia_hansenii_VPI_C7_24_DSM_20583.xml	63	NT5005	537007	
B. longum subsp. infantis	Bifidobacterium longum subsp. infantis (S1) DSM No.: 20088	B. longum subsp. infantis	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	GCA_000269965.1_ASM26996v1	Bifidobacterium_longum_infantis_ATCC_15697.xml	5	NT5023	391904	blon
B. longum subsp. longum	Bifidobacterium longum subsp. longum (S1) DSM No.: 20219	B. longum subsp. longum	Bifidobacterium	Bifidobacteriaceae	Bifidobacteriales	Actinobacteria	Actinobacteria	NT5028	Bifidobacterium_longum_longum_JCM_1217.xml	6	NT5028		blm
B. thetaiotaomicron	Bacteroides thetaiotaomicron(S2) DSM No.: 2079	B. thetaiotaomicron	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000011065.1_ASM1106v1	Bacteroides_thetaiotaomicron_VPI_5482.xml	32	NT5004	226186	bth
B. uniformis	Bacteroides uniformis (S2) DSM No.: 6597	B. uniformis	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000154205.1_ASM15420v1	Bacteroides_uniformis_ATCC_8492.xml	33	NT5002	411479	
B. vulgatus	Bacteroides vulgatus (S1) DSM No.: 1447	B. vulgatus	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidetes	GCA_000012825.1_ASM1282v1	Bacteroides_vulgatus_ATCC_8482.xml	36	NT5001	435590	bvu
C. bolteae	Clostridium bolteae (S1) DSM No.: 15670	C. bolteae	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	GCA_000154365.1_ASM15436v1	Clostridium_bolteae_ATCC_BAA_613.xml	52	NT5026	411902	
C. comes	Coprococcus comes (S1) ATCC No: 27758	C. comes	Coprococcus	Lachnospiraceae	Clostridiales	Clostridia	Firmicutes	GCA_000155875.1_ASM15587v1	Coprococcus_comes_ATCC_27758.xml	67	NT5048	470146	
C. perfringens C36	Clostridium perfringens (S2) DSM 11782	C. perfringens	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	NT5032		54	NT5032		
C. perfringens S107	Clostridium perfringens (S2) DSM 756	C. perfringens	Clostridium	Clostridiaceae	Clostridiales	Clostridia	Firmicutes	GCA_000013285.1_ASM1328v1	Clostridium_perfringens_ATCC_13124.xml	55	NT5031	195103	cpf
C. ramosum	Clostridium ramosum DSMZ 1402 (S2)	C. ramosum	Clostridium	Erysipelotrichaceae	Erysipelotrichales	Erysipelotrichi	Firmicutes	GCA_000154485.1_ASM15448v1	Clostridium_ramosum_VPI_0427_DSM_1402.xml	56	NT5006	445974	
