NLF002	NLF005	NLF006	NLF007	NLF008	NLF009	NLF011	NLF013	NLF015	NLM001	NLM003	NLM006	NLM007	NLM017	NLM022	NLM023	NLM025	NLM026	NLM027	NOF001	NOF004	NOF005	NOF009	NOF010	NOF011	NOM001	NOM002	NOM005	NOM009	NOM012	NOM013	NOM015	NOM022	NOM026	NOM027	NOM028	NOM029	BGI002A	N006A	N024A	N038A	N043A	N046A	N052A	SZEY-26A	SZEY-43A	SZEY-75A	SZEY-81A	BGI-06A	BGI089A	N003A	N027A	SZEY-68A	BGI-17A	BGI-33A	BGI-34A	N020A	N022A	N025A	N029A	N031A	N034A	N056A	N064A	N066A	N083A	SZEY-09A	SZEY-10A	SZEY-24A	SZEY-29A	SZEY-35A	SZEY-37A	SZEY-39A	SZEY-40A	SZEY-44A	SZEY-55A	SZEY-59A	SZEY-62A	SZEY-64A	SZEY-66A	SZEY-78A	N001A	N002A	N026A	N033A	N042A	N044A	N049A	N079A	N103A	SZEY-22A	SZEY-30A	N075A	N104A	SZEY-101A	SZEY-104A	SZEY-90A	SZEY-93A	SZEY-95A	SZEY-97A	V1.CD2-0-PN	V1.CD4-0-PN	V1.CD6-0-PN	V1.CD8-0-PN	V1.CD4-0-PT	V1.CD6-0-PT	V1.CD2-0	V1.CD3-0	V1.CD4-0	V1.CD8-0	V1.CD9-0	V1.CD11-0	V1.CD13-0	V1.CD14-0	V1.CD16-0	V1.CD19-0	V1.CD22-0	V1.CD24-0	V1.CD27-0	V1.CD28-0	V1.CD29-0	V1.CD30-0	V1.CD31-0	V1.CD34-0	V1.CD36-0	V1.CD38-0	V1.CD40-0	V1.CD42-0	V1.CD43-0	V1.CD45-0	V1.CD49-0	V1.CD50-0	V1.CD52-0	V1.CD55-0	V1.FI01	V1.FI02	V1.FI03	V1.FI04	V1.FI05	V1.FI06	V1.FI07	V1.FI08	V1.FI09	V1.FI10	V1.FI14	V1.FI15	V1.FI16	V1.FI20	V1.FI28	V1.FI29	V1.FI30	V1.FI31	V1.FI35	O2.UC49-0	O2.UC50-0	O2.UC51-0	O2.UC52-0	O2.UC53-0	O2.UC54-0	O2.UC55-0	O2.UC56-0	O2.UC57-0	O2.UC58-0	O2.UC59-0	O2.UC60-0	V1.UC6-0	V1.UC7-0	V1.UC8-0	V1.UC9-0	V1.UC16-0	V1.UC18-0	V1.UC19-0	V1.UC24-0	V1.UC27-0	V1.UC28-0	V1.UC29-0	V1.UC30-0	V1.UC32-0	V1.UC33-0	V1.UC34-0	V1.UC36-0	V1.UC37-0	V1.UC41-0	V1.UC42-0	V1.UC43-0	V1.UC44-0	V1.UC46-0	V1.UC48-0	V1.UC58-0	V1.UC60-0	V1.UC61-0	V1.UC62-0	V1.UC63-0	V1.UC64-0	158256496-stool1	158337416-stool1	158458797-stool1	158479027-stool1	158499257-stool1	158742018-stool1	158802708-stool1	158883629-stool1	158924089-stool1	158944319-stool1	159005010-stool1	159146620-stool1	159166850-stool1	159207311-stool1	159227541-stool1	159247771-stool1	159268001-stool1	159369152-stool1	159490532-stool1	159510762-stool1	159551223-stool1	159571453-stool1	159591683-stool1	159611913-stool1	159632143-stool1	159713063-stool1	159733294-stool1	159753524-stool1	159814214-stool1	159915365-stool1	160158126-stool1	160178356-stool1	160218816-stool1	160319967-stool1	160400887-stool1	160421117-stool1	160502038-stool1	160582958-stool1	160603188-stool1	160643649-stool1	160704339-stool1	160765029-stool1	246515023-stool1	338793263-stool1	404239096-stool1	508703490-stool1	550534656-stool1	604812005-stool1	638754422-stool1	675950834-stool1	686765762-stool1	706846339-stool1	737052003-stool1	763435843-stool1	763496533-stool1	763536994-stool1	763577454-stool1	763597684-stool1	763678604-stool1	763759525-stool1	763820215-stool1	763840445-stool1	763860675-stool1	763901136-stool1	763961826-stool1	763982056-stool1	764002286-stool1	764042746-stool1	764062976-stool1	764143897-stool1	764184357-stool1	764224817-stool1	764285508-stool1	764325968-stool1	764447348-stool1	764487809-stool1	764508039-stool1	764588959-stool1	764649650-stool1	764669880-stool1	764811490-stool1	764892411-stool1	765013792-stool1	765034022-stool1	765074482-stool1	765094712-stool1	765135172-stool1	765560005-stool1	765620695-stool1	765640925-stool1	765701615-stool1	809635352-stool1	823052294-stool1	861967750-stool1	MH0109	MH0128	MH0277	MH0060	MH0318	MH0272	MH0302	MH0166	MH0414	MH0095	MH0110	MH0164	MH0135	MH0434	MH0118	MH0143	MH0039	MH0044	MH0079	MH0457	MH0420	MH0132	MH0322	MH0404	MH0152	MH0115	MH0051	MH0173	MH0239	MH0076	MH0415	MH0040	MH0101	MH0125	MH0448	MH0206	MH0444	MH0236	MH0031	MH0043	MH0411	MH0089	MH0416	MH0247	MH0433	MH0067	MH0456	MH0002	MH0045	MH0113	MH0454	MH0432	MH0224	MH0120	MH0408	MH0409	MH0286	MH0032	MH0130	MH0064	MH0151	MH0447	MH0161	MH0243	MH0080	MH0288	MH0453	MH0009	MH0041	MH0122	MH0274	MH0428	MH0075	MH0417	MH0197	MH0087
-1	0.385233598373224	0.562917793578919	0.626763268817732	0.520970354165216	0.293558153235957	0.308914645864256	0.446198133781549	0.49255442889641	0.103607902534423	0.550678154899744	0.126676036823892	0.317167530701353	0.136432278244734	0.370703420880435	0.345322235991446	0.194407664020649	0.657865696227209	0.623882841214294	0.0721701556027364	0.444492614595554	0.412940306967923	0.191668189688796	0.0816003779447464	0.284959684990105	0.334384540143188	0.245327002145986	0.555095284118399	0.343426556872682	0.394299107653959	0.515401726583382	0.541373720499197	0.15922535708506	0.422705854154224	0.304680405121914	0.496434975929696	0.208519970925034	0.180315943434003	0.625363026370003	0.323850615436621	0.209176919844084	0.270098540027264	0.169204724366314	0.169107232109658	0.48326761912144	0.397635213013408	0.294971591811499	0.436947571651117	0.158077683331895	0.303370762641193	0.485833430745535	0.326399326600103	0.295167900235352	0.407425519806107	0.580250333273638	0.50552879638685	0.289881439181797	0.658591116358202	0.560915220219266	0.368744417483989	0.161536042577866	0.201058593502144	0.37628804878123	0.462330714035126	0.427199798920653	0.640619136703246	0.0875672947369076	0.71362526994656	0.245002223146849	0.278220262807348	0.210006766003445	0.439689874702608	0.477877626486499	0.668496445369537	0.262419683252078	0.492325620177629	0.349335174658707	0.398329688933358	0.635585794725352	0.458348012890238	0.484291690288799	0.268638994078534	0.298501632462569	0.342024923660962	0.253182478235621	0.305991410329881	0.212759170125148	0.415860182305568	0.190272902014483	0.422844034745424	0.644793699679831	0.313423115873692	0.677092452414597	0.399312902163999	0.35384336152823	0.581353348961642	0.322594184286499	0.355247170120631	0.40495831674309	0.00583979322431109	0.679100972273743	0.143567540151978	0.55668963003689	0.531176804037856	0.380959093178353	0.0421531701470681	0.625300272355562	0.372659861608673	0.684801302324497	0.573662862110406	0.691734574266535	0.513107086649974	0.139538172971467	0.702500876012143	0.65025007777884	0.427920632009819	0.529647606093815	0.494114056502929	0.527348694946988	0.25174171326773	0.274755741012693	0.672323703744436	0.636463576439201	0.396427309952821	0.615357494739668	0.173399613939892	0.392125757416021	0.278343724273837	0.210064605082347	0.407092347260401	0.275895419496134	0.524329559063149	0.646038072113571	0.546423755629999	0.542136643372985	0.492975344173795	0.399960942369547	0.250507422533433	0.548143655139302	0.160779194630033	0.505870464228499	0.524495977327957	0.28528497275623	0.7978548196371	0.492431452504618	0.73904268397683	0.452705303295778	0.439330819864182	0.359555490031371	0.461234741096306	0.423528050051759	0.515573115415793	0.401727147329249	0.276035410982063	0.24054982304052	0.556018814964282	0.47412159935948	0.582122605964109	0.443608034609648	0.34998949186906	0.58547808923094	0.317908096144663	0.762050865963283	0.623849296385528	0.426412796382754	0.722064337981123	0.66588149667649	0.206584294236209	0.428959843551213	0.649474815993518	0.326529608820568	0.267702065593671	0.682606439562058	0.47109479153788	0.514185586096418	0.311514322781044	0.367592739074521	0.385087156498026	0.432915712971596	0.279645467542896	0.189058898090796	0.743484313889294	0.570443030247598	0.229595303124671	0.515078587211062	0.519173205003224	0.380325316813604	0.439027142230878	0.451682901325329	0.602711881467001	0.377449778350635	0.28251001121558	0.437278088225687	0.575874208937768	0.466469616772548	0.671049127449643	0.592392671967394	0.532617277802181	0.32356847628718	0.661270833295329	0.444745285535553	0.373387494652075	0.0434922884963628	0.102624047236008	0.769771156885727	0.203405984946698	0.0953868761851456	0.439402733090334	0.558773547250509	0.312225899052983	0.173629227899354	0.439650153901262	0.152364178495781	0.404597839432981	0.0809724458822653	0.206547559344631	0.371740950877767	0.0300793348880217	0.296431083028415	0.351606808481776	0.372460568143004	0.486842286099926	0.782761154522448	0.236780156549366	0.0164614002173445	0.32864003459987	0.479931247253803	0.395034730009737	0.23457555426764	0.563239344583782	0.0852622021072834	0.237120115907794	0.28940516234012	0.441603840639581	0.350446104642383	0.54248335670865	0.58807549064215	0.0466517735087884	0.360427930812858	0.135434178325874	0.368119274029491	0.087997626684454	0.295254509513695	0.241579987491883	0.336837229143544	0.362152425645857	0.487259874306556	0.306752258423637	0.292336292220458	0.650112797119901	0.326271352334125	0.427835594891536	0.591690602602499	0.551246505648306	0.160311335278159	0.422569272117359	0.231069199383073	0.67226435693911	0.617993064907303	0.204695785577241	0.170315915170424	0.344309685470515	0.320131508871877	0.745535907806857	0.701613409401448	0.517827582858261	0.602901532348156	0.202665709022009	0.305240313008931	0.384979056780959	0.506136418541351	0.257380445955822	0.708140179025977	0.413742915777802	0.0696343920944332	0.106331967953712	0.277949102660479	0.671192037978608	0.153450503508434	0.780233805194137	0.197034810934144	0.2618228369084	0.177859557309113	0.308841854805997	0.61344353556449	0.782262884801116	0.410914531049921	0.30215358384321	0.38005106700307	0.3395849484513	0.348043801740894	0.0166978165377733	0.796487196462927	0.738050442905812	0.559999253973682	0.211502671188538	0.280610213702522	0.348468752307185	0.559801865203507	0.271088438577452	0.264244890959582	0.638054103777943	0.631917638655642	0.784286417724756	0.794829671444834	0.554916678654812	0.448528735202246	0.807107387363979	0.511324838634921	0.371150623876279	0.704449191800465	0.293230950187124	0.546239409931205	0.658047889836135	0.680228719813927	0.533173217854999	0.484462969341072	0.299916874077904	0.667952618232349	0.662248718623838	0.638533570254992	0.627854794596492	0.450870164906745	0.742188152526745	0.593520705185042	0.26087886701403	0.346554732260275	0.739157894596644	0.575275384363961	0.602797847127396	0.618022419587048	0.508336983905521	0.611098938152717	0.483545283949914	0.577265032532625	0.520991349456919	0.50900971156773	0.56774262998569	0.536778570132991	0.702446451312596	0.42088900962944	0.525791919763499	0.649119792594563	0.644062454718091	0.654956250618529	0.760902204900345	0.458338107795856	0.436755399976964	0.524108512092901	0.788970258777299	0.60888672521324	0.381474042266107	0.38751829335521	0.470931267461604	0.599726962563921	0.771649063297849	0.768722590917821	0.446086276663249	0.335730562135224	0.249785724305697	0.754370982939888	0.589559773642998	0.690673253183048	0.759684482406385	0.111750343665907
Cluster1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1000	0	8.16265936658229e-05	4.65484478695044e-05	0.000159509024944402	0	0	0	0	0	0	0	0	0	0	0	0	4.70682914103959e-05	0	0	0	0.000118087729783598	0	0	0	0	0	0	0	1.30324523506432e-05	0.000286717528072269	1.7155026385443e-05	0	0	0	0	0	0	4.16322021254988e-05	0	0	0	0	0	0	0	0	0	0	0	2.75481771726375e-05	0	0	0.000195049150397778	0.000102426244183544	0	0	0	0	0	0	0	3.14923208020694e-05	0	0	0	0	8.22692802528944e-06	0	0	0	0	0	0	0	0	0	0	8.38458184944291e-05	0	0	0	0	0	2.32522111926397e-05	0	0	0	0	0	0	0	0	0	0	0.00128542530540569	0	0	1.30888067246152e-05	0	6.06861042330886e-05	0	0	0	1.45119426855464e-05	0	0.000476612545391166	0.000193200155758736	0	0	7.96528271385929e-05	0.000794204983597437	0	2.49136110796512e-05	0	0	8.58141155150989e-05	0	0	0	0	1.72194107689998e-05	2.07769781803116e-05	0	0.000127355690056222	0	0	0	0	0	0	1.13038452356302e-05	0.000107450345638404	0	7.47732575625047e-05	0	0.000332572400902439	0	1.49567920367568e-05	6.47725090240453e-06	0.000273311728543486	0	0	0.000186828645462777	0	0.00013256782399604	5.34134816757887e-05	0	8.56497118085273e-05	0	0	2.78652689242997e-05	2.00741129404092e-05	0	0	0.0007580663160552	0	0.00445018815779944	0	0	7.61743634351863e-06	0.00070886427591401	0.000108569189264921	0.000164744314496404	0	1.60540184275075e-05	4.37426932160079e-05	0	0	0	0	0	1.12392413232245e-05	0	8.33866158194666e-06	0	0	0	0.000209053811819227	0	0	0	9.99236287070771e-05	1.63314963515469e-05	0	0	0	1.53243947808028e-05	0	0.00059617611429836	7.58646267166218e-06	9.15550000372202e-05	0	0.000509679979002404	0.000654148145913852	0.000166989393560537	0	6.88768049066037e-05	0	3.55966312500567e-06	0	1.15429127886952e-05	0	0	0	0	0	2.77936712332136e-05	0	6.05506462285465e-05	0	0	0	0	0	1.17346878208809e-05	9.29339300912352e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000171802308194843	0.000307500629017488	5.28906391265636e-06	0	0	0	0	0	1.54588846408606e-05	0	0	0	0	9.51158262803114e-06	0	1.0934855966799e-05	1.11298597558001e-05	0	0	0	0.000254692600899705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57223466378559e-05	5.78701437892241e-06	8.40554392089056e-06	0	0	0	0	0	0	0	0	0	3.23371091777394e-05	0	0	0	0	0	0.000195823660458936	0	0	0	0	0.000219712664989828	0.000427797288258579	0	0	5.97335532309173e-06	0	0	0.000267785683877743	8.64890005918244e-06	0	0.00018798428082697	0.000383751152383329	0	1.45769989527219e-05	0	0.000884231361660584	0	0.000585121366543929	0	0	9.2937698730954e-06	6.24101139874565e-05	0.000251636811176219	1.34402368126268e-05	0	3.36113770339442e-05	8.67552789470987e-05	0	3.18348831452147e-05	0.000141954279014178	0.00065059246596506	0.000301086293960479	0	0	3.25999697841379e-05	0	4.66338009019255e-06	0	0.000940804774903356	0	0	1.51422743329486e-05	0	0	0	0.000166303554472349	0	0.000308514459233012	8.85206574050476e-05	0.000245850101143998	0	1.84624844408862e-05	0	0	0.000301491218028029	0	1.3560443973522e-05	0.00115437986558864	0	1.85069239317637e-05	0	4.74114995357887e-05	0	0.000797406817618457	0	0	1.76616300474535e-05	6.23348005481913e-05	0.000371915999002706	0.000405375949454548	9.78705397613353e-06	0
Cluster1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01398354859295e-06	0	0
Cluster1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cluster1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
